AUC,Accuracy,Precision,Recall,F1-score,Specificity,model,fold
0.4615,0.5965,0.0909,0.4,0.1481,0.6154,CLAM,0
0.6101,0.3273,0.1591,1.0,0.2745,0.2292,CLAM,1
0.7738,0.7966,0.0909,0.3333,0.1429,0.8214,CLAM,2
0.5631,0.5893,0.1429,0.5263,0.2247,0.5973,CLAM,3
0.6809,0.7059,0.1429,0.4667,0.2187,0.729,CLAM,4
0.8731,0.7706,0.1628,0.7,0.2642,0.775,TransMIL,0
0.6076,0.4512,0.1212,0.8,0.2105,0.4161,TransMIL,1
0.6624,0.8476,0.2105,0.2857,0.2424,0.9,TransMIL,2
0.551,0.4583,0.117,0.5789,0.1947,0.443,TransMIL,3
0.6718,0.7529,0.186,0.5333,0.2759,0.7742,TransMIL,4
